step,seed3,seed2,seed4,seed1,seed0
0,112.419296264648,107.882369995117,119.682632446289,101.721694946289,118.602600097656
80000,193.027557373047,198.840469360352,210.001434326172,199.28108215332,185.966369628906
160000,308.251953125,346.216644287109,318.506622314453,281.168762207031,226.229644775391
240000,380.189636230469,539.107299804688,458.608215332031,349.667053222656,342.452056884766
320000,529.58740234375,433.891021728516,705.183654785156,539.511108398438,544.596923828125
400000,640.639892578125,595.464965820313,614.241577148438,626.985046386719,532.558959960938
480000,656.094970703125,571.534057617188,609.305297851563,480.238433837891,656.120971679688
560000,584.385131835938,705.479675292969,786.178894042969,656.094970703125,579.234985351563
640000,762.033325195312,536.427856445313,748.738403320313,747.003479003906,715.183776855469
720000,840.365051269531,657.746276855469,799.649780273438,643.887451171875,786.683959960938
800000,837.821899414062,749.062683105469,794.128234863281,771.629821777344,741.001953125
880000,814.873718261719,780.397277832031,670.567749023438,755.4443359375,791.321105957031
960000,777.402282714844,727.467895507813,789.101928710938,817.489135742188,780.437744140625
1040000,821.6865234375,825.314086914062,813.416442871094,816.902038574219,809.278137207031
1120000,782.299987792969,825.645812988281,780.720031738281,789.853149414062,810.785766601563
1200000,742.971923828125,808.984619140625,797.966064453125,787.194580078125,812.046936035156
1280000,781.926025390625,478.627288818359,828.351257324219,722.428344726563,689.71533203125
1360000,850.0576171875,704.613647460937,832.358581542969,819.506164550781,788.368103027344
1440000,838.479614257813,815.164916992188,811.793334960938,783.664001464844,862.123229980469
1520000,733.787841796875,834.24267578125,832.654479980469,823.839233398438,858.427734375
1600000,779.815551757813,745.699523925781,821.515808105469,772.975708007813,842.346557617188
1680000,844.505981445312,827.1806640625,785.233459472656,748.895141601563,840.1416015625
1760000,835.9267578125,801.461730957031,683.224731445312,800.22607421875,810.000610351563
1840000,856.516235351563,823.889282226562,759.293090820313,792.395935058594,716.943054199219
1920000,785.248901367187,589.170776367188,753.143798828125,840.343444824219,789.938781738281
2000000,828.581665039063,852.4541015625,597.451782226563,718.342895507813,839.817749023437
2080000,840.83056640625,851.048950195312,845.962585449219,761.094055175781,855.660766601562
2160000,825.927917480469,844.078735351562,751.535278320312,775.124877929688,861.318359375
2240000,861.622924804687,737.512634277344,540.99560546875,826.76904296875,865.2119140625
2320000,858.307800292969,634.433471679688,841.573913574219,846.160278320312,788.587951660156
2400000,800.058471679687,808.147888183594,761.159851074219,655.685668945312,726.052856445313
2480000,854.625122070313,865.585815429687,795.851928710938,847.187316894531,828.368957519531
2560000,618.718444824219,730.645629882813,723.500427246094,634.028869628906,865.321472167969
2640000,770.411499023438,838.00927734375,678.943054199219,854.520690917969,825.405578613281
2720000,842.316101074219,819.807800292969,673.553100585938,755.172729492188,834.442687988281
2800000,114.900527954102,800.911743164063,686.930847167969,830.515808105469,835.446105957031
2880000,101.720932006836,601.302429199219,838.011901855469,858.30712890625,532.320190429688
2960000,116.012474060059,826.321655273438,853.87548828125,807.866333007813,856.80224609375
