step,seed4,seed3,seed2,seed1,seed0
0,125.222213745117,132.650238037109,130.422515869141,133.329086303711,133.796646118164
40000,153.372146606445,152.876708984375,131.518447875977,141.222366333008,154.350631713867
80000,179.884826660156,187.007873535156,121.695655822754,157.989761352539,126.979614257813
120000,232.50634765625,217.447296142578,129.818939208984,171.190277099609,192.784591674805
160000,237.989288330078,254.15283203125,157.713455200195,173.112762451172,191.593032836914
200000,350.117736816406,371.423858642578,171.997665405273,221.466949462891,217.976364135742
240000,294.1259765625,426.157135009766,164.212265014648,232.111175537109,261.245300292969
280000,514.979614257813,563.203002929687,227.761520385742,219.65202331543,420.207580566406
320000,691.083984375,690.162170410156,243.306060791016,228.691253662109,420.579010009766
360000,741.770751953125,854.13232421875,226.311737060547,272.240875244141,594.447448730469
400000,869.320129394531,837.618469238281,438.831359863281,361.084655761719,780.83154296875
440000,876.334594726563,875.653503417969,591.025329589844,368.237487792969,855.781433105469
480000,809.607360839844,781.231567382813,656.818908691406,486.840393066406,846.632995605469
520000,837.943725585938,904.023803710938,772.199401855469,611.622802734375,887.222534179688
560000,736.277221679688,789.526428222656,749.167114257812,841.01708984375,784.304260253906
600000,859.3525390625,822.52099609375,801.884399414062,861.767395019531,806.9853515625
640000,866.671203613281,857.451782226562,810.994689941406,762.489379882813,855.59375
680000,835.660278320312,890.496459960938,718.672302246094,849.517272949219,866.335571289063
720000,917.117797851562,806.876770019531,844.872436523437,865.18603515625,835.950561523438
760000,886.682250976562,915.083862304688,738.160522460938,765.369506835938,919.68408203125
800000,902.301940917969,892.181274414063,773.149658203125,803.895690917969,933.681030273437
840000,961.343444824219,859.254089355469,812.342407226562,795.975463867188,860.795593261719
880000,881.336730957031,903.32177734375,879.272094726563,824.930786132813,860.181457519531
920000,884.406066894531,884.519226074219,797.051025390625,769.961181640625,885.220581054688
960000,858.540222167969,899.427368164062,794.66845703125,725.614074707031,818.930847167969
1000000,885.659057617188,868.576354980469,895.485473632813,692.822998046875,869.983703613281
1040000,837.46044921875,949.751342773438,913.218444824219,744.597473144531,931.85986328125
1080000,803.812866210938,874.353332519531,861.670776367188,783.343200683594,854.361145019531
1120000,936.642395019531,917.010375976563,856.267578125,908.007995605469,902.779174804688
1160000,889.642456054687,918.366516113281,927.703002929687,734.472473144531,885.384399414063
1200000,945.597473144531,910.856567382812,811.486938476562,780.649536132813,879.191101074219
1240000,881.651977539062,909.796508789063,932.310913085938,801.345092773438,827.9482421875
1280000,790.850952148438,940.303039550781,899.936889648438,787.993103027344,865.679321289062
1320000,875.747924804688,919.387817382813,897.069458007812,773.094055175781,866.400207519531
1360000,809.634643554688,912.531372070313,866.048522949219,880.608520507812,875.934204101563
1400000,914.779602050781,875.948059082031,964.985961914062,895.070678710938,923.844909667969
1440000,930.403015136719,906.488891601563,836.471374511719,839.196166992187,931.300659179687
1480000,890.652221679687,901.200561523438,903.0927734375,867.323364257813,860.772644042969
1520000,899.99267578125,913.000854492188,864.191772460937,830.287292480469,957.330200195313
1560000,901.779602050781,925.605651855469,935.026000976563,875.088989257812,925.695922851562
1600000,903.471801757813,853.229370117188,932.816528320313,914.510375976563,844.160766601562
1640000,964.258605957031,920.331176757813,941.442077636719,817.150817871094,897.30419921875
1680000,921.990234375,893.233032226562,954.125854492188,908.841796875,945.78515625
1720000,925.906066894531,876.905883789063,869.28857421875,868.52099609375,925.37109375
1760000,938.448852539062,904.202331542969,938.470031738281,914.601440429687,963.453430175781
1800000,907.248168945313,939.464538574219,693.021179199219,900.745422363281,931.879028320313
1840000,893.482727050781,884.61328125,954.812316894531,821.655151367188,880.623046875
1880000,915.6298828125,960.187622070313,929.870910644531,886.323852539062,899.39794921875
1920000,882.444641113281,795.758666992188,934.101379394531,867.044250488281,940.496765136719
1960000,943.452270507813,921.191040039063,960.310852050781,882.404663085937,891.862976074219
2000000,943.618957519531,913.870300292969,954.82958984375,912.494812011719,948.00537109375
2040000,903.737487792969,892.604125976563,928.903137207031,842.852172851562,884.972961425781
2080000,957.825988769531,806.321472167969,830.183776855469,896.603149414062,931.790161132813
2120000,938.099914550781,953.017761230469,925.938659667969,877.858581542969,920.993774414063
2160000,904.683410644531,923.678100585938,913.481567382813,807.738342285156,868.71484375
2200000,928.652709960937,916.241088867188,952.106750488281,917.845397949219,922.886901855469
2240000,938.807250976562,893.453735351562,952.828979492188,904.132141113281,934.671691894531
2280000,928.3466796875,911.778625488281,923.089233398438,918.489135742188,951.781616210937
2320000,894.869995117188,851.757507324219,942.786315917969,934.378051757813,909.801391601562
2360000,894.617553710938,944.944519042969,895.998657226563,878.409362792969,947.485473632812
2400000,908.004760742188,933.640502929688,944.3505859375,864.115234375,816.218383789063
2440000,837.190246582031,942.3916015625,925.21240234375,912.427917480469,932.370239257813
2480000,874.198608398438,843.951354980469,883.048034667969,920.91845703125,877.881469726563
2520000,898.090209960938,894.657043457031,872.875183105469,898.099609375,928.718078613281
2560000,913.232421875,893.18994140625,958.835266113281,807.276306152344,906.826171875
2600000,928.385437011719,943.550476074219,932.928588867187,909.397277832031,899.689453125
2640000,952.94482421875,897.4619140625,936.814147949219,822.662414550781,892.289855957031
2680000,858.492004394531,912.802917480469,898.922241210938,860.721069335938,976.3427734375
2720000,958.300903320312,926.803833007813,856.716796875,761.481567382813,942.940246582031
2760000,781.095642089844,881.876831054688,934.853210449219,852.471069335937,862.761535644531
2800000,941.517211914062,937.878784179688,919.3935546875,867.026550292969,877.6923828125
