step,seed4,seed3,seed2,seed1,seed0
0,128.538818359375,132.650238037109,130.422515869141,131.428771972656,132.085372924805
40000,287.338928222656,179.002502441406,230.28645324707,179.209686279297,271.516876220703
80000,450.059875488281,228.515090942383,246.046661376953,247.822555541992,374.230773925781
120000,529.42138671875,258.687866210937,255.018157958984,308.825134277344,481.207855224609
160000,579.256713867188,271.702331542969,273.184936523438,310.773620605469,581.775756835938
200000,691.489135742188,304.339752197266,271.214447021484,335.104125976562,727.470825195313
240000,689.821899414063,319.971313476562,285.104644775391,372.571166992187,691.391418457031
280000,655.674438476563,336.474792480469,287.405242919922,404.158264160156,809.1826171875
320000,856.211791992187,326.312683105469,279.736572265625,462.624206542969,763.245971679688
360000,823.744018554688,369.521545410156,268.061462402344,555.43212890625,854.167602539063
400000,737.68359375,207.805709838867,264.564544677734,556.274719238281,887.859558105469
440000,887.823425292969,397.096984863281,286.661071777344,507.135986328125,850.427551269531
480000,879.928527832031,369.420959472656,272.174987792969,371.545654296875,955.49267578125
520000,919.175903320313,228.098754882812,260.699829101562,267.348388671875,935.169555664062
560000,824.488586425781,282.602844238281,277.037231445312,296.081756591797,932.09423828125
600000,873.935668945313,466.189636230469,269.442199707031,359.670776367187,913.718872070313
640000,888.765441894531,483.363128662109,225.342987060547,496.058502197266,887.756958007813
680000,861.262023925781,548.608459472656,245.375244140625,487.7578125,946.863647460938
720000,894.341674804688,511.379455566406,276.404510498047,596.367858886719,937.425170898437
760000,947.596862792969,576.484680175781,285.106048583984,674.578979492188,931.539428710938
800000,934.341979980469,589.049987792969,253.763137817383,878.951477050781,931.529418945313
840000,893.051574707031,500.921203613281,273.270904541016,823.586547851563,913.907531738281
880000,883.797180175781,383.294311523438,249.370483398437,900.18701171875,951.768188476563
920000,923.772644042969,468.077819824219,235.010208129883,758.578857421875,955.166381835937
960000,919.850708007813,590.498901367188,236.212326049805,329.538665771484,905.856567382813
1000000,889.161804199219,642.603332519531,265.455871582031,324.080230712891,900.900573730469
1040000,892.976257324219,662.865356445313,288.121887207031,312.515533447266,935.91552734375
1080000,911.608520507813,637.482299804688,262.93798828125,323.705871582031,936.956848144531
1120000,875.198852539062,687.513916015625,300.251647949219,792.544616699219,836.907836914063
1160000,918.360534667969,689.049377441406,274.994201660156,511.418853759766,951.42431640625
1200000,980.022155761719,642.040405273437,279.950225830078,778.729248046875,911.602661132813
1240000,954.197265625,673.491455078125,316.738189697266,188.5966796875,906.208618164063
1280000,919.93408203125,636.867614746094,340.978698730469,233.851593017578,914.776733398437
1320000,918.987121582031,642.420776367188,281.872711181641,276.621765136719,905.681945800781
1360000,940.663757324219,654.99755859375,280.019683837891,657.423522949219,919.89794921875
1400000,913.221313476562,598.632873535156,313.688232421875,791.641418457031,930.759948730469
