step,seed2,seed1,seed0
0,269.606872558594,266.511901855469,251.491500854492
80000,888.003784179688,878.479125976562,863.783081054688
160000,966.136413574219,988.02685546875,987.7783203125
240000,994.075805664063,994.635620117188,987.395385742187
320000,994.74658203125,991.823547363281,979.962524414063
400000,995.641723632813,978.716979980469,996.921203613281
480000,994.5771484375,982.603149414063,988.4951171875
560000,978.194458007813,997.508422851563,994.1748046875
640000,996.394165039063,995.703308105469,997.564331054688
720000,998.642395019531,998.752075195313,993.493347167969
800000,996.504272460938,996.630493164063,997.781433105469
880000,998.804504394531,995.241577148438,998.129272460938
960000,998.402709960937,998.581420898437,998.865356445313
1040000,996.494995117187,998.223022460937,996.485717773438
1120000,998.590698242188,998.263793945313,984.894897460937
1200000,996.149597167969,666.000610351562,988.978393554688
1280000,998.716491699219,982.187805175781,965.435180664062
1360000,998.729370117188,975.77978515625,998.059448242188
1440000,998.60791015625,996.429382324219,998.5078125
1520000,998.799987792969,997.359069824219,994.087768554688
1600000,998.588500976562,998.453796386719,996.486999511719
1680000,996.846862792969,991.371887207031,997.528625488281
1760000,998.724792480469,998.089050292969,994.797546386719
1840000,998.507995605469,995.230346679688,996.962707519531
1920000,998.191589355469,998.551452636719,999.027465820313
2000000,997.630554199219,998.353515625,998.910461425781
2080000,998.932800292969,998.935913085938,998.373840332031
2160000,998.530090332031,669.386474609375,329.140930175781
2240000,998.631042480469,931.920532226562,969.3828125
2320000,997.812683105469,997.284851074219,998.442749023437
2400000,998.1728515625,998.322387695313,997.817749023437
2480000,997.318969726562,998.377624511719,995.401062011719
2560000,998.8994140625,998.734558105469,997.831176757813
2640000,998.230163574219,998.8037109375,998.286499023438
2720000,998.407531738281,998.65771484375,997.558776855469
2800000,998.305847167969,998.765625,981.568664550781
2880000,998.932800292969,987.363159179687,998.067687988281
2960000,998.903137207031,998.758666992188,998.795776367188
