step,seed2,seed1,seed0
0,116.457809448242,137.462677001953,112.531394958496
160000,831.312133789062,847.842590332031,763.143737792969
320000,859.637023925781,802.102661132813,697.115173339844
480000,855.838562011719,829.440551757813,851.078247070313
640000,870.49462890625,867.621704101563,781.000793457031
800000,857.427917480469,788.172973632813,855.7470703125
960000,875.17919921875,851.358581542969,801.472595214844
1120000,818.827270507813,858.115356445313,852.778686523438
1280000,863.593566894531,865.842468261719,607.822631835938
1440000,870.2373046875,871.996459960937,847.03076171875
1600000,856.876281738281,876.848510742187,842.265441894531
1760000,865.889038085938,878.55615234375,861.696166992187
1920000,854.694213867188,874.064819335938,861.593627929688
2080000,877.985656738281,877.326538085937,778.298583984375
2240000,878.119506835938,483.624572753906,856.487915039063
2400000,880.208312988281,873.484252929688,715.898559570313
2560000,847.04150390625,873.947265625,853.749694824219
2720000,874.706359863281,878.3759765625,857.806518554687
2880000,789.865051269531,865.292175292969,841.801574707031
