step,seed2,seed1,seed0
0,8.96748542785645,12.8447856903076,11.8571062088013
80000,178.360626220703,199.904891967773,212.12516784668
160000,163.639404296875,245.84782409668,426.685394287109
240000,257.784332275391,155.090179443359,348.122436523437
320000,428.041595458984,285.377349853516,459.799621582031
400000,511.664855957031,576.328247070313,515.510803222656
480000,527.335205078125,474.295104980469,567.047485351563
560000,562.983276367187,598.553833007813,609.438232421875
640000,508.357727050781,644.458251953125,568.579406738281
720000,451.873382568359,565.261596679688,553.771667480469
800000,418.503234863281,661.690185546875,595.054321289063
880000,579.228210449219,648.953735351563,664.387451171875
960000,621.448181152344,640.312866210938,590.956481933594
1040000,622.331359863281,539.561157226563,643.902709960938
1120000,470.43994140625,669.240112304688,670.988525390625
1200000,662.489135742188,690.141967773438,640.43994140625
1280000,672.038269042969,661.808227539063,675.883117675781
1360000,656.063293457031,699.485778808594,670.964050292969
1440000,638.124694824219,655.636108398438,649.864013671875
1520000,669.123657226563,629.919799804688,634.272766113281
1600000,684.609680175781,699.02294921875,686.785522460938
1680000,632.067565917969,656.271789550781,690.393615722656
1760000,657.061157226562,700.679565429688,684.030639648438
1840000,665.669799804688,663.998291015625,670.24755859375
1920000,684.054077148438,682.504699707031,699.362426757812
2000000,696.9482421875,651.362060546875,658.09228515625
2080000,706.693176269531,589.783203125,658.599609375
2160000,621.41748046875,538.366760253906,602.05126953125
2240000,658.475708007813,718.491271972656,699.120300292969
2320000,675.811279296875,653.049560546875,614.843444824219
2400000,682.329956054688,695.930358886719,669.030822753906
2480000,705.630126953125,724.447570800781,678.349243164063
2560000,682.214599609375,714.545471191406,720.951049804688
2640000,697.288635253906,713.481872558594,697.7568359375
2720000,716.559631347656,694.999633789063,717.525085449219
2800000,713.579162597656,678.789916992188,702.7666015625
2880000,717.720703125,689.101928710938,680.344909667969
2960000,705.055908203125,675.962585449219,721.51220703125
