step,seed2,seed1,seed0
0,0,36,173.199996948242
80000,99.3000030517578,406,475.399993896484
160000,295.200012207031,311,458.700012207031
240000,0,419.5,366.299987792969
320000,445.799987792969,871.900024414063,906.5
400000,879.400024414062,926.400024414063,942.299987792969
480000,890.599975585937,918,877.5
560000,877.700012207031,861.5,890.200012207031
640000,919,931.099975585938,878.299987792969
720000,876.400024414063,949,944.799987792969
800000,924.900024414063,949.599975585937,927.099975585938
880000,934.599975585937,890.299987792969,779
960000,940.400024414063,921.900024414063,924.299987792969
1040000,913.5,947.200012207031,952.900024414063
1120000,904,963.799987792969,965.5
1200000,740.299987792969,965,966.400024414063
1280000,978.400024414063,948.900024414063,937.799987792969
1360000,953.599975585938,941.099975585938,940.799987792969
1440000,957.400024414063,854.900024414063,964
1520000,959,940.400024414063,954.400024414062
1600000,975.099975585938,938.400024414062,934.200012207031
1680000,927.599975585938,969.099975585938,938.400024414062
1760000,828.299987792969,976.900024414062,966.900024414062
1840000,927.099975585938,970.299987792969,970
1920000,970,947.5,959.099975585938
2000000,915.900024414063,918.900024414062,929.299987792969
2080000,897.299987792969,929.900024414063,947.5
2160000,924.400024414063,910.5,978.200012207031
2240000,844.799987792969,821,917.299987792969
2320000,973.400024414062,968.599975585938,944.299987792969
2400000,959.299987792969,848.799987792969,868.799987792969
2480000,969.400024414063,972.200012207031,938.099975585937
2560000,965,915.700012207031,969.799987792969
2640000,906.400024414062,941.900024414062,965
2720000,968.299987792969,938.299987792969,953.5
2800000,884,860.299987792969,899.200012207031
2880000,969.5,889.599975585938,856.400024414062
2960000,977.799987792969,946,966.599975585937
