step,seed2,seed1,seed0
0,0.899999976158142,0.300000011920929,0.300000011920929
40000,322.799987792969,560.400024414063,490.600006103516
80000,598.5,583.599975585938,709.400024414063
120000,580.5,624,710.5
160000,643.400024414063,624.799987792969,702.900024414063
200000,652.900024414063,651,735
240000,646.599975585938,652.200012207031,751.200012207031
280000,655.900024414063,650.799987792969,760.5
320000,650.5,584.099975585938,756
360000,646.900024414063,654.200012207031,863.200012207031
400000,656.400024414063,540.700012207031,978.599975585938
440000,642,941.5,977.599975585938
480000,656.5,965.799987792969,974.5
520000,650.599975585938,970.799987792969,980.200012207031
560000,653.299987792969,881,982.099975585938
600000,653.5,974.700012207031,978.700012207031
640000,654.299987792969,945.5,981.5
680000,647.599975585938,980.5,986.200012207031
720000,748.700012207031,979.599975585938,973.799987792969
760000,923.900024414063,974.400024414063,878.5
800000,933.299987792969,966.5,978.700012207031
840000,968.799987792969,975.700012207031,980.599975585938
880000,974.900024414063,969.5,981.5
920000,981.700012207031,976.200012207031,983.900024414062
960000,984,869.900024414063,982.599975585937
1000000,985.299987792969,911.599975585938,979.400024414062
1040000,982.700012207031,981.700012207031,980.900024414063
1080000,969.599975585938,979.700012207031,981.5
1120000,978.299987792969,977.400024414063,981.599975585938
1160000,981.599975585938,970.299987792969,973.299987792969
1200000,983.700012207031,982.400024414063,982.400024414063
1240000,979.599975585938,984.5,978.700012207031
1280000,977.5,954.200012207031,974.599975585937
1320000,972,983.700012207031,982
1360000,982.700012207031,983.299987792969,985.599975585938
1400000,981.5,973.200012207031,980.400024414062
1440000,983.599975585937,984.799987792969,974.400024414063
1480000,982.700012207031,972.599975585938,978
1520000,983.599975585937,985.900024414062,979.400024414062
1560000,979.400024414062,979.599975585938,973.700012207031
1600000,984.599975585937,977.599975585938,978.900024414063
1640000,966.599975585937,985.799987792969,980.799987792969
1680000,983,980.700012207031,973.099975585938
1720000,984.400024414063,980.299987792969,967.900024414062
1760000,976.299987792969,983.299987792969,977.900024414063
1800000,873.900024414063,984,978.099975585937
1840000,762.900024414062,982.099975585938,983.5
1880000,982,981.099975585938,976.299987792969
1920000,986.5,982.900024414063,969.099975585938
1960000,984.5,985.200012207031,971.099975585937
2000000,977.400024414063,981.400024414062,973.900024414063
2040000,978.099975585937,984.700012207031,981
2080000,982.099975585938,990,982
2120000,976.5,985.700012207031,982.700012207031
2160000,980.5,986,958.5
2200000,969.200012207031,988.200012207031,976
2240000,977.799987792969,984.099975585938,970.400024414063
2280000,985.799987792969,988,976.200012207031
2320000,982.599975585937,976.900024414062,979.200012207031
2360000,985.200012207031,986.200012207031,973.400024414062
2400000,887.200012207031,976.799987792969,979.900024414063
2440000,984.400024414063,981.900024414063,983.400024414063
2480000,982.599975585937,981.599975585938,980.799987792969
2520000,980,977.200012207031,983.299987792969
2560000,984.400024414063,982.099975585938,984.400024414063
2600000,987.5,984.799987792969,981.400024414062
2640000,981.099975585938,983,977.799987792969
2680000,961.400024414063,987.099975585937,976.900024414062
2720000,987.5,984.400024414063,981.299987792969
2760000,980.900024414063,982.5,984.299987792969
2800000,972.5,985.099975585938,978.700012207031
2840000,982.299987792969,986.099975585938,975.900024414062
2880000,966.599975585937,982.799987792969,981.700012207031
2920000,981.799987792969,886.099975585938,978.299987792969
2960000,977.5,983.900024414062,980.5
3000000,974.599975585937,973.200012207031,978.299987792969
