step,seed2,seed1,seed0
0,0,0,0
80000,719.200012207031,0,649.700012207031
160000,819.599975585938,795.700012207031,871
240000,822.700012207031,844,737.900024414062
320000,858.299987792969,833.799987792969,856.299987792969
400000,857.599975585937,809.400024414063,773.400024414063
480000,853.700012207031,392,830.299987792969
560000,870.599975585938,787.200012207031,822.700012207031
640000,786,860.400024414063,813.900024414063
720000,800.700012207031,831.599975585938,869.400024414063
800000,804.799987792969,795.200012207031,751.700012207031
880000,825,875.799987792969,869.099975585938
960000,811.299987792969,825,821.599975585938
1040000,865.099975585938,845.099975585937,858.700012207031
1120000,772.799987792969,857.5,822.099975585937
1200000,857,858.5,863.099975585937
1280000,797.299987792969,808.400024414063,832.900024414063
1360000,863,812.099975585937,823.200012207031
1440000,573.799987792969,833.400024414063,849.599975585937
1520000,815.099975585938,850.099975585938,787
1600000,833.400024414063,738.700012207031,829.599975585938
1680000,826.799987792969,765.099975585938,761.900024414063
1760000,874,829.5,875.700012207031
1840000,817.799987792969,871.900024414063,885
1920000,818.099975585938,848.799987792969,831.5
2000000,761.799987792969,839.200012207031,847.200012207031
2080000,791.900024414062,822.200012207031,804.400024414062
2160000,821.599975585938,819,811.700012207031
2240000,825.799987792969,845,813.099975585937
2320000,818.400024414063,858.599975585937,834.599975585937
2400000,739.900024414063,828.799987792969,852.700012207031
2480000,796.099975585938,728.299987792969,832.799987792969
2560000,878.700012207031,902.700012207031,784.599975585938
2640000,804.5,848.400024414062,857.200012207031
2720000,838.799987792969,832.400024414063,849.799987792969
2800000,854.5,816.299987792969,885.200012207031
2880000,853.299987792969,860.599975585938,754.700012207031
2960000,845.099975585937,852.799987792969,816.5
