step,seed2,seed1,seed0
0,51.2999992370605,46.0999984741211,78.1999969482422
80000,122,251.699996948242,227
160000,171.199996948242,392,281.299987792969
240000,289.200012207031,284.600006103516,375.100006103516
320000,286.100006103516,503.899993896484,369.399993896484
400000,345.200012207031,468.5,305.100006103516
480000,383.600006103516,331.700012207031,618.799987792969
560000,150.399993896484,566.599975585938,660
640000,295.799987792969,561.200012207031,687.799987792969
720000,641.299987792969,350.700012207031,752.799987792969
800000,572.299987792969,669.099975585938,859.700012207031
880000,668.599975585938,896.400024414062,888.5
960000,584.200012207031,961,854.5
1040000,347.600006103516,782.099975585938,872.700012207031
1120000,432.600006103516,737.400024414063,751.599975585938
1200000,583.5,679.799987792969,864.5
1280000,580.900024414063,934.599975585937,961.200012207031
1360000,728.5,903.5,763.599975585938
1440000,719.200012207031,964.299987792969,770.900024414063
1520000,849.099975585938,875.799987792969,904.599975585938
1600000,657.799987792969,849.099975585938,591.099975585938
1680000,573.700012207031,816,934.799987792969
1760000,822.700012207031,850.5,980.599975585938
1840000,800.200012207031,824.299987792969,980
1920000,734.400024414063,893.599975585938,794.799987792969
2000000,937.599975585938,886.599975585938,982.900024414063
2080000,891.200012207031,979.299987792969,941
2160000,848,886,854.400024414062
2240000,976.599975585938,836.299987792969,865.599975585937
2320000,807.799987792969,934.400024414063,916.700012207031
2400000,718.900024414063,969.099975585938,976.599975585938
2480000,702,969.700012207031,939.099975585938
2560000,745.200012207031,921.599975585938,943.299987792969
2640000,865.299987792969,796.900024414063,847.5
2720000,945.400024414063,945.5,796.599975585938
2800000,678.299987792969,893.900024414062,981.5
2880000,880.400024414062,965.700012207031,977.400024414063
2960000,913.5,816,754.200012207031
