step,seed2,seed1,seed0
0,23.1769752502441,24.2872371673584,23.5570335388184
40000,33.8703575134277,52.0977973937988,44.5658531188965
80000,31.0330810546875,34.7886505126953,101.297073364258
120000,30.3200435638428,35.9375381469727,176.596740722656
160000,28.5277061462402,40.9654541015625,244.625442504883
200000,33.7154922485352,29.2518157958984,301.935821533203
240000,22.6646156311035,68.7572326660156,254.28645324707
280000,32.315559387207,133.793914794922,279.311340332031
320000,45.1820945739746,172.815063476563,332.201751708984
360000,87.4348526000977,183.093994140625,357.239440917969
400000,111.860656738281,208.458953857422,381.919677734375
440000,168.542938232422,235.186813354492,440.825531005859
480000,172.377975463867,280.685791015625,459.095367431641
520000,176.257232666016,349.342407226563,519.268432617188
560000,216.304977416992,394.865051269531,553.424987792969
600000,257.906463623047,428.548156738281,556.759826660156
640000,314.354522705078,414.191162109375,573.9697265625
680000,359.376495361328,523.800598144531,608.993774414062
720000,374.250305175781,608.141845703125,614.631530761719
760000,441.572082519531,608.249572753906,649.76318359375
800000,495.70849609375,589.833862304688,656.108947753906
840000,494.741058349609,503.027893066406,680.345336914063
880000,539.387268066406,561.812194824219,606.034301757813
920000,551.453796386719,621.984191894531,609.44580078125
960000,606.903930664063,636.085327148438,670.560974121094
1000000,567.361450195313,588.486022949219,650.111877441406
1040000,644.879150390625,681.591003417969,692.891967773438
1080000,649.60986328125,675.957641601562,704.075866699219
1120000,660.933715820313,686.950988769531,705.693176269531
1160000,675.871215820313,677.774291992187,717.28515625
1200000,673.053161621094,686.195495605469,696.873901367188
1240000,693.526733398438,680.823303222656,715.588500976563
1280000,709.202087402344,683.853454589844,731.901306152344
1320000,683.265502929688,682.516174316406,680.751281738281
1360000,617.778503417969,717.622924804688,724.216979980469
1400000,699.340942382813,629.833190917969,707.504821777344
1440000,702.170776367188,718.125915527344,723.950073242188
1480000,667.063293457031,705.351013183594,730.124877929688
1520000,690.418334960938,707.340698242188,723.781616210938
1560000,692.150207519531,677.478393554688,736.472900390625
1600000,720.599792480469,709.37060546875,653.930297851563
1640000,713.627319335938,643.041015625,739.452026367188
1680000,730.721984863281,627.184020996094,710.510498046875
1720000,705.423034667969,713.190246582031,724.591918945313
1760000,665.919738769531,726.969116210938,729.595520019531
1800000,729.513549804688,713.281372070313,722.351379394531
1840000,699.239440917969,719.277954101563,643.7109375
1880000,717.480834960938,712.558715820313,723.860656738281
1920000,712.509887695313,711.222473144531,716.522033691406
1960000,718.731079101562,722.112365722656,718.726501464844
2000000,696.100219726563,694.911315917969,637.891723632812
2040000,703.120239257813,715.728210449219,744.171997070313
2080000,703.198852539063,731.645080566406,731.827514648438
2120000,711.290893554687,708.199829101563,704.878662109375
2160000,690.385375976563,717.267028808594,646.222778320313
2200000,734.664916992188,751.637145996094,716.908386230469
2240000,650.795532226563,698.512084960938,749.386535644531
2280000,721.244018554688,724.286987304687,718.931030273438
2320000,715.075988769531,732.500671386719,710.607543945313
2360000,603.200012207031,700.394165039063,725.697021484375
2400000,721.428833007812,708.768798828125,739.330688476563
2440000,740.271240234375,717.424499511719,726.103515625
2480000,721.494873046875,721.314514160156,717.711547851563
2520000,733.964477539063,673.113098144531,720.669921875
2560000,714.676208496094,741.343139648438,689.958068847656
2600000,711.527404785156,736.168151855469,704.98828125
2640000,727.517456054688,737.89599609375,716.309387207031
2680000,687.234008789063,730.846862792969,730.825073242188
2720000,714.196472167969,729.079650878906,727.161743164062
2760000,702.368591308594,696.8955078125,722.056579589844
2800000,712.478637695313,653.99609375,724.257141113281
2840000,679.825439453125,741.092163085937,738.07373046875
2880000,748.405639648438,581.695007324219,722.947448730469
2920000,712.575073242188,735.202026367188,692.056091308594
2960000,725.96533203125,732.906372070313,726.653869628906
3000000,734.424438476563,731.136413574219,745.534851074219
