step,seed2,seed1,seed0
0,116.460403442383,137.462677001953,112.531394958496
160000,754.780090332031,793.508911132813,825.68896484375
320000,789.689575195313,871.890930175781,860.611328125
480000,854.848999023437,856.666625976563,873.979187011719
640000,856.150390625,851.314086914062,875.959594726563
800000,855.436645507812,865.498046875,866.386413574219
960000,862.209106445313,879.666687011719,877.973510742187
1120000,857.771789550781,880.957641601563,880.000793457031
1280000,838.763488769531,881.142395019531,871.684875488281
1440000,861.150390625,878.077514648438,879.173034667969
1600000,860.604797363281,831.487915039063,872.669738769531
1760000,856.6552734375,880.484680175781,877.863159179688
1920000,845.666809082031,880.406433105469,874.227844238281
2080000,862.887573242188,879.471374511719,880.928588867188
2240000,863.947387695313,880.572570800781,878.643676757813
2400000,862.601684570313,881.42578125,877.527160644531
2560000,862.864440917969,828.729614257813,879.040222167969
2720000,862.981811523438,878.8271484375,878.809692382812
2880000,859.274719238281,881.039428710938,879.4111328125
