step,seed2,seed1,seed0
0,8.96748542785645,12.8447856903076,11.8571062088013
80000,192.057998657227,167.263336181641,309.573333740234
160000,347.513641357422,251.346527099609,393.836578369141
240000,428.156585693359,292.759948730469,392.74951171875
320000,466.351257324219,315.47119140625,461.067443847656
400000,457.665344238281,398.146606445312,366.867614746094
480000,286.846771240234,403.873229980469,510.106872558594
560000,403.976257324219,355.344116210937,513.391235351563
640000,503.42578125,400.348114013672,416.558990478516
720000,540.342895507813,425.447906494141,588.344482421875
800000,599.317749023438,360.238464355469,454.317810058594
880000,624.716064453125,449.517913818359,557.233093261719
960000,603.772705078125,487.0048828125,595.708557128906
1040000,609.228332519531,578.892456054688,624.458984375
1120000,676.623840332031,466.235198974609,703.484741210938
1200000,587.377563476563,597.005065917969,710.537414550781
1280000,632.935668945312,619.510620117188,656.2578125
1360000,692.104125976563,645.224426269531,540.748596191406
1440000,719.640747070313,616.334533691406,616.66259765625
1520000,658.404846191406,641.554565429688,727.176513671875
1600000,694.38818359375,614.347412109375,693.970092773438
1680000,729.421264648438,670.119995117188,728.408874511719
1760000,662.850891113281,615.7099609375,698.170715332031
1840000,714.776123046875,574.133178710938,767.627380371094
1920000,703.739013671875,704.547912597656,680.131225585938
2000000,661.874267578125,640.518920898438,636.684631347656
2080000,688.474304199219,726.134826660156,633.263305664063
2160000,613.380004882812,743.520690917969,673.004028320313
2240000,656.369812011719,726.564086914063,747.359558105469
2320000,604.810119628906,724.540222167969,813.7216796875
2400000,713.283081054688,680.241088867188,743.507446289063
2480000,663.050170898438,718.385375976563,633.920532226562
2560000,622.965209960938,743.788635253906,698.636840820313
2640000,767.126037597656,763.938354492188,684.26318359375
2720000,712.844909667969,687.528869628906,755.299926757813
2800000,793.991333007812,619.847534179688,772.043334960938
2880000,703.833129882813,746.463989257813,666.867858886719
2960000,727.264526367188,687.430358886719,774.268188476563
