step,seed2,seed1,seed0
0,0,36,173.199996948242
80000,364.299987792969,296.700012207031,503.200012207031
160000,311.5,386,943.099975585938
240000,645.5,265.700012207031,937.099975585937
320000,849.5,823.5,971.099975585937
400000,912.799987792969,905.099975585937,967.700012207031
480000,966,957.400024414063,964.700012207031
560000,955.5,940.5,969.099975585938
640000,971.900024414063,975.5,968
720000,963.799987792969,949.5,960.799987792969
800000,976.900024414062,954.599975585938,972.099975585937
880000,974.700012207031,976.599975585938,973.099975585938
960000,966.799987792969,964,979
1040000,972.200012207031,973.299987792969,954.599975585938
1120000,974.400024414063,975.299987792969,956.700012207031
1200000,977.700012207031,959,977
1280000,974.400024414063,964.599975585938,979.299987792969
1360000,980.599975585938,941.299987792969,978.5
1440000,959,960.5,971
1520000,973,859.700012207031,977.799987792969
1600000,955.900024414063,960.400024414063,983.700012207031
1680000,970.799987792969,975.799987792969,972.299987792969
1760000,965.299987792969,965.799987792969,976.299987792969
1840000,972.5,966.099975585938,738.200012207031
1920000,977.799987792969,965.799987792969,967.5
2000000,949.599975585937,961.599975585938,977.799987792969
2080000,977.5,950.299987792969,974.700012207031
2160000,949.799987792969,971.299987792969,972.700012207031
2240000,976,967.099975585938,958.799987792969
2320000,972.5,951.299987792969,975
2400000,956.099975585938,965.700012207031,973.700012207031
2480000,977.700012207031,969.599975585938,974.299987792969
2560000,966.900024414062,974.099975585938,931.900024414063
2640000,977.900024414063,966.400024414063,980.799987792969
2720000,974.799987792969,962.299987792969,978.400024414063
2800000,971,962,974.599975585937
2880000,982.299987792969,957.799987792969,980.400024414062
2960000,978,977.400024414063,969
