step,seed2,seed1,seed0
0,0,0,0
80000,0,17.3999996185303,0
160000,147,660.700012207031,742.299987792969
240000,336.200012207031,724.200012207031,789.700012207031
320000,710.700012207031,837.599975585938,475.799987792969
400000,865.299987792969,804.599975585938,776.700012207031
480000,851.599975585938,821.799987792969,843.900024414062
560000,846.700012207031,809.299987792969,817.700012207031
640000,846.299987792969,857,823.099975585938
720000,368.200012207031,844.700012207031,866.799987792969
800000,804.700012207031,778.299987792969,777.400024414063
880000,837.700012207031,883.200012207031,869.200012207031
960000,814,829.299987792969,828.799987792969
1040000,865.700012207031,845.700012207031,862.400024414063
1120000,775.5,858.299987792969,841.400024414063
1200000,801,848.200012207031,863.599975585938
1280000,813,810.200012207031,838.200012207031
1360000,863.599975585938,815.200012207031,833.200012207031
1440000,875.5,797.700012207031,847.799987792969
1520000,817.400024414063,853.5,797.099975585938
1600000,255.100006103516,818.099975585938,817.599975585937
1680000,827.099975585938,766.599975585938,825.200012207031
1760000,878,825,877.599975585938
1840000,817.599975585937,869.400024414063,889.400024414062
1920000,825.200012207031,848.400024414062,730.900024414063
2000000,787.700012207031,853.299987792969,855.799987792969
2080000,877.299987792969,831.799987792969,806
2160000,841.599975585937,817.599975585937,812.200012207031
2240000,825.400024414063,846,759.799987792969
2320000,840.5,858,838.400024414062
2400000,798.299987792969,828.5,882.5
2480000,831.5,793.299987792969,837.5
2560000,854.799987792969,902.299987792969,789
2640000,838.5,855.900024414063,858.299987792969
2720000,843.599975585938,833.799987792969,854.5
2800000,872.200012207031,816.099975585938,886.099975585938
2880000,860,872.5,768.299987792969
2960000,853.5,853,821.900024414063
