step,seed2,seed1,seed0
0,240.849090576172,59.0111885070801,159.956161499023
80000,88.5438919067383,185.235809326172,57.4359817504883
160000,153.398712158203,278.485382080078,65.007438659668
240000,207.960403442383,293.671569824219,129.009796142578
320000,277.544586181641,249.712615966797,140.685592651367
400000,172.784713745117,286.11669921875,291.689056396484
480000,287.434600830078,244.772705078125,224.166656494141
560000,293.332916259766,337.383239746094,449.119293212891
640000,373.721740722656,350.408111572266,323.097686767578
720000,420.938171386719,404.910461425781,383.229858398437
800000,388.947906494141,392.319244384766,399.20947265625
880000,411.842132568359,353.842712402344,345.55908203125
960000,421.470031738281,405.667266845703,433.246246337891
1040000,344.357635498047,436.760650634766,422.308410644531
1120000,364.355163574219,417.574645996094,369.059661865234
1200000,351.091949462891,434.963623046875,425.871765136719
1280000,328.251861572266,443.217956542969,451.853210449219
1360000,330.735076904297,436.721771240234,443.867034912109
1440000,421.371734619141,452.964691162109,469.031799316406
1520000,314.910614013672,520.08740234375,454.0625
1600000,485.038879394531,467.418762207031,432.730560302734
1680000,445.276458740234,506.965148925781,462.34716796875
1760000,447.906585693359,379.119201660156,471.117736816406
1840000,418.462249755859,398.497863769531,478.776062011719
1920000,432.086242675781,415.617584228516,387.336242675781
2000000,303.489532470703,423.105285644531,380.017517089844
2080000,300.715270996094,413.234375,371.441009521484
2160000,367.78857421875,396.528076171875,369.316772460937
2240000,370.192413330078,368.262023925781,446.970886230469
2320000,303.175598144531,443.902496337891,395.369964599609
2400000,185.049407958984,384.149810791016,307.103454589844
2480000,17.9436511993408,333.863983154297,64.9507598876953
2560000,14.2071104049683,300.333557128906,255.33659362793
2640000,31.7233829498291,265.364685058594,207.923416137695
2720000,77.5705184936524,136.990142822266,183.860214233398
2800000,86.3557052612305,260.505035400391,255.689529418945
2880000,22.8460788726807,55.7143058776856,225.066207885742
2960000,36.1374588012695,206.046340942383,200.505004882812
