step,seed2,seed1,seed0
0,51.2999992370605,46.0999984741211,78.1999969482422
80000,259.899993896484,207.899993896484,195.300003051758
160000,307.5,342.100006103516,623.400024414063
240000,204.399993896484,391.899993896484,796
320000,125.800003051758,345.799987792969,447.899993896484
400000,208.399993896484,300,535.5
480000,451.299987792969,379.100006103516,893.799987792969
560000,261.100006103516,362.799987792969,859.099975585938
640000,354.899993896484,268.700012207031,878.200012207031
720000,469.899993896484,343.600006103516,933.099975585938
800000,594.099975585938,675.599975585938,746.599975585938
880000,667.700012207031,231.5,977.299987792969
960000,588.299987792969,550,767
1040000,730.099975585938,561.5,739.5
1120000,719,563.200012207031,845.5
1200000,720.099975585937,720.799987792969,978.599975585938
1280000,835.700012207031,939.900024414063,958.900024414062
1360000,862.400024414063,971.900024414063,881.200012207031
1440000,735.900024414063,825.299987792969,790.299987792969
1520000,774.299987792969,884.299987792969,980.700012207031
1600000,683.400024414063,863.299987792969,977.299987792969
1680000,781.599975585938,766.5,788
1760000,871.299987792969,896.299987792969,878
1840000,892.200012207031,976.5,692.5
1920000,828.5,811.900024414063,806.299987792969
2000000,873.099975585938,800.099975585938,888.900024414063
2080000,879.599975585938,867.900024414062,983.5
2160000,902.900024414063,879.5,888.299987792969
2240000,872.5,809.599975585937,781.200012207031
2320000,917.700012207031,979.5,752.900024414063
2400000,787.799987792969,933,981.099975585938
2480000,891.900024414062,982.599975585937,881
2560000,884.299987792969,949.599975585937,983.5
2640000,882.599975585937,964.599975585938,986.700012207031
2720000,840.400024414063,848.299987792969,977.599975585938
2800000,693,921.400024414062,777.200012207031
2880000,816.799987792969,938.799987792969,981.200012207031
2960000,888.400024414062,974.099975585938,874.599975585937
