step,seed2,seed1,seed0
0,3,10.1999998092651,15.6000003814697
80000,5.5,13.6999998092651,0.899999976158142
160000,39.0999984741211,92.8000030517578,69.0999984741211
240000,1.79999995231628,129.199996948242,66.4000015258789
320000,1.29999995231628,22.7999992370605,61.2999992370605
400000,170.100006103516,9.30000019073486,0
480000,22.5,134.300003051758,210.100006103516
560000,0.5,422.299987792969,48.7999992370605
640000,132,112.800003051758,104.400001525879
720000,289.299987792969,121.699996948242,180.100006103516
800000,0.600000023841858,190.600006103516,198.5
880000,56.2999992370605,337.399993896484,12.6000003814697
960000,55.9000015258789,405.799987792969,71.5
1040000,196.800003051758,210,98
1120000,143.699996948242,332.5,99.1999969482422
1200000,207.899993896484,292,10.8999996185303
1280000,185.199996948242,365.5,298.799987792969
1360000,287.200012207031,237.800003051758,139.300003051758
1440000,206.399993896484,489.200012207031,216.800003051758
1520000,370,290,61.2000007629395
1600000,11.6999998092651,468.200012207031,351.899993896484
1680000,176,272.799987792969,143.899993896484
1760000,152.199996948242,188.100006103516,293.799987792969
1840000,380.899993896484,471,323.600006103516
1920000,286.600006103516,771.700012207031,118.800003051758
2000000,191.100006103516,236.800003051758,193.100006103516
2080000,318.600006103516,710.700012207031,190.600006103516
2160000,457.700012207031,386.600006103516,325.600006103516
2240000,116.900001525879,241.899993896484,276.100006103516
2320000,345.600006103516,359.600006103516,133.300003051758
2400000,512.400024414063,181.899993896484,404.600006103516
2480000,620.700012207031,275.399993896484,538
2560000,613.799987792969,437,292
2640000,176.5,502.700012207031,613.400024414063
2720000,257.5,505.700012207031,206
2800000,487,490.899993896484,305.100006103516
2880000,426.5,511.700012207031,410.700012207031
2960000,230.600006103516,644.400024414063,247.600006103516
