step,seed2,seed1,seed0
0,6.26521587371826,9.97996997833252,3.99534225463867
80000,92.3940277099609,25.330774307251,100.755447387695
160000,253.023559570312,114.314514160156,230.310958862305
240000,218.601806640625,251.583343505859,417.229919433594
320000,316.406646728516,298.524749755859,339.751037597656
400000,287.005554199219,259.949523925781,358.778228759766
480000,281.610778808594,320.232086181641,341.644866943359
560000,328.672332763672,227.320770263672,359.122863769531
640000,281.013854980469,320.574737548828,349.402679443359
720000,422.191467285156,263.596740722656,337.427215576172
800000,448.975769042969,383.812164306641,396.331787109375
880000,422.7109375,299.728424072266,505.913391113281
960000,448.834625244141,339.673767089844,273.785919189453
1040000,481.315521240234,287.227081298828,356.158843994141
1120000,395.430023193359,323.3896484375,466.67236328125
1200000,412.353668212891,272.825012207031,341.159484863281
1280000,505.555114746094,372.216644287109,415.999084472656
1360000,465.420074462891,232.932174682617,375.295135498047
1440000,417.673645019531,305.246887207031,357.390563964844
1520000,444.116271972656,362.000579833984,549.649230957031
1600000,477.681945800781,308.682403564453,370.632659912109
1680000,474.460632324219,385.085327148437,435.682769775391
1760000,395.879272460937,319.507019042969,470.295104980469
1840000,419.307312011719,374.696228027344,630.271484375
1920000,459.014556884766,417.486389160156,459.659118652344
2000000,461.419250488281,297.379364013672,514.571350097656
2080000,442.272064208984,436.648986816406,413.285705566406
2160000,487.224456787109,332.204895019531,362.005615234375
2240000,482.681579589844,411.88818359375,390.014801025391
2320000,429.484069824219,428.422271728516,555.951049804688
2400000,380.426605224609,390.306976318359,456.508972167969
2480000,492.089416503906,223.813598632813,433.284759521484
2560000,429.497955322266,343.41015625,528.292846679688
2640000,458.697692871094,280.617279052734,442.080261230469
2720000,310.274719238281,413.086730957031,437.8154296875
2800000,519.389831542969,388.762359619141,406.838714599609
2880000,639.638610839844,364.226379394531,407.414489746094
2960000,411.064300537109,347.90966796875,550.70556640625
3040000,518.977905273438,411.776031494141,366.169738769531
3120000,378.195373535156,318.157440185547,482.898590087891
3200000,490.657897949219,379.577484130859,418.414459228516
3280000,371.988067626953,480.980224609375,540.496215820312
3360000,448.799133300781,409.478057861328,508.203033447266
3440000,436.097015380859,432.463562011719,460.7880859375
3520000,381.261138916016,332.090301513672,453.238586425781
3600000,371.376647949219,363.209594726563,533.118286132813
3680000,421.048004150391,305.899261474609,392.260803222656
3760000,420.552307128906,330.868957519531,396.220550537109
3840000,456.667785644531,399.941467285156,445.931396484375
3920000,368.695404052734,247.308837890625,583.047180175781
4000000,511.170227050781,313.92529296875,524.26904296875
