step,seed2,seed1,seed0
0,269.606872558594,266.511901855469,251.491500854492
160000,991.005859375,967.384399414063,990.559204101563
320000,997.633972167969,997.567504882812,996.728820800781
480000,997.8583984375,999.230834960938,992.916687011719
640000,999.179992675781,999.071655273437,999.319702148438
800000,998.621215820313,999.046081542969,999.2060546875
960000,998.111938476563,999.360168457031,998.964477539063
1120000,998.316772460938,998.352844238281,997.211303710938
1280000,999.257446289063,999.296997070313,999.31982421875
1440000,998.98388671875,999.323913574219,997.83056640625
1600000,999.36474609375,999.151000976562,999.162963867187
1760000,999.208984375,998.798461914063,999.29052734375
1920000,994.48828125,998.733581542969,996.60107421875
2080000,998.84814453125,991.833862304688,999.016235351563
2240000,996.78466796875,999.19189453125,998.160522460938
2400000,997.85302734375,999.08349609375,999.378112792969
2560000,997.084167480469,997.949890136719,999.303833007813
2720000,998.448608398438,999.17919921875,998.05908203125
2880000,999.067565917969,998.865234375,997.77880859375
3040000,998.183715820313,982.950500488281,988.681518554687
3200000,998.72216796875,999.083984375,999.30615234375
3360000,994.15283203125,998.617309570312,999.090942382813
3520000,999.015808105469,999.332336425781,999.203735351563
3680000,997.652038574219,988.631164550781,998.605163574219
3840000,994.964477539063,998.89892578125,999.212219238281
4000000,999.283508300781,998.753784179688,999.384765625
