step,seed0,seed2,seed1
0,35.2000007629395,31,28.2000007629395
160000,1000,1000,376.399993896484
320000,1000,1000,1000
480000,1000,1000,1000
640000,1000,1000,1000
800000,1000,1000,1000
960000,1000,1000,1000
1120000,1000,1000,1000
1280000,1000,1000,1000
1440000,1000,1000,1000
1600000,1000,1000,1000
1760000,1000,1000,1000
1920000,1000,1000,1000
2080000,1000,1000,1000
2240000,1000,1000,1000
2400000,1000,1000,1000
2560000,1000,1000,1000
2720000,1000,1000,1000
2880000,1000,1000,1000
3040000,1000,1000,1000
3200000,1000,1000,1000
3360000,1000,1000,1000
3520000,1000,1000,1000
3680000,1000,1000,1000
3840000,1000,1000,1000
4000000,1000,1000,1000
