step,seed2,seed1,seed0
0,116.457809448242,137.462997436523,112.531394958496
160000,836.212768554688,877.79296875,869.793823242187
320000,882.029968261719,881.514038085938,876.382629394531
480000,874.654968261719,877.456726074219,878.909790039062
640000,876.344055175781,875.30810546875,881.876281738281
800000,881.329895019531,879.906127929688,881.595336914062
960000,880.83740234375,878.015258789062,872.744812011719
1120000,881.03125,880.323852539063,881.788208007812
1280000,881.809387207031,879.40283203125,880.85693359375
1440000,878.15380859375,872.232055664063,881.102905273437
1600000,879.208679199219,874.225280761719,878.186340332031
1760000,879.654113769531,881.931640625,881.2373046875
1920000,881.95849609375,878.584106445313,880.914184570313
2080000,879.059936523437,880.627136230469,881.386352539063
2240000,881.651733398438,879.681945800781,881.579956054688
2400000,881.995910644531,881.880981445313,880.3203125
2560000,880.540222167969,881.978332519531,881.376953125
2720000,875.178833007812,847.044616699219,876.37939453125
2880000,881.780883789063,873.936340332031,881.274230957031
3040000,875.958618164063,868.912414550781,879.2724609375
3200000,881.521606445313,880.090515136719,881.252258300781
3360000,874.404479980469,864.58154296875,880.497253417969
3520000,882.136047363281,877.254760742188,880.524719238281
3680000,881.820617675781,867.983215332031,880.224243164063
3840000,881.905883789062,878.500366210938,879.49951171875
4000000,874.897766113281,881.529907226562,879.755249023438
