step,seed0,seed1,seed2
0,0.300000011920929,1.5,1.79999995231628
160000,506,744.599975585938,782
320000,809.400024414063,679.400024414062,287.399993896484
480000,821.099975585937,786.700012207031,581
640000,810.400024414063,804.400024414062,829
800000,812.599975585938,619.5,784.5
960000,641.799987792969,835.700012207031,835.599975585938
1120000,829.099975585937,840,835.5
1280000,836.900024414063,828.5,843.400024414063
1440000,813.099975585937,847.299987792969,845
1600000,836.700012207031,819.200012207031,838.200012207031
1760000,805.400024414062,809.299987792969,781.599975585938
1920000,816.900024414062,833.200012207031,835.799987792969
2080000,838.799987792969,797.599975585938,839.099975585938
2240000,838.900024414063,834.900024414062,827.400024414063
2400000,832.900024414063,833.900024414062,839.299987792969
2560000,824.099975585938,840.799987792969,833.5
2720000,839.700012207031,844,836.200012207031
2880000,846.5,786.299987792969,827.299987792969
3040000,839.900024414063,599.700012207031,846.400024414062
3200000,828,844.700012207031,846.5
3360000,787.799987792969,845.400024414063,832.099975585938
3520000,822,844.200012207031,842.5
3680000,838.200012207031,847.099975585937,848.099975585938
3840000,805.900024414063,848.099975585938,848
4000000,841,842.700012207031,843.900024414062
