step,seed2,seed1,seed0
0,0,36,208.199996948242
80000,952.299987792969,956.700012207031,956.400024414062
160000,931.200012207031,942.200012207031,971
240000,940.099975585938,899.700012207031,944.599975585938
320000,943.5,841.5,934.799987792969
400000,923.400024414062,943,962.5
480000,969.299987792969,972.700012207031,837.400024414063
560000,959.599975585937,920.799987792969,957.599975585937
640000,952.700012207031,919.599975585938,955.299987792969
720000,961.799987792969,955.099975585937,977.900024414063
800000,973.200012207031,958.400024414063,930.200012207031
880000,971,971,921.5
960000,960.700012207031,974.700012207031,950.700012207031
1040000,962.5,982.5,933.799987792969
1120000,945,929.400024414062,957.799987792969
1200000,957.799987792969,965.299987792969,948.700012207031
1280000,967.5,947.900024414063,884.299987792969
1360000,941.299987792969,970.900024414063,980.200012207031
1440000,941.099975585938,969.299987792969,956.200012207031
1520000,956.700012207031,935.5,983.099975585938
1600000,957.200012207031,954.700012207031,945.200012207031
1680000,932.900024414063,974.200012207031,958.799987792969
1760000,967,978.900024414063,979.400024414062
1840000,958.200012207031,967.599975585937,980.099975585937
1920000,923.299987792969,956.099975585938,950.299987792969
2000000,921.5,974.599975585937,967.900024414062
2080000,977.799987792969,954.700012207031,963.400024414062
2160000,967.299987792969,977.599975585938,978.700012207031
2240000,963.099975585937,976.799987792969,972.599975585938
2320000,962.5,914.700012207031,961.299987792969
2400000,974.700012207031,954.5,972.400024414062
2480000,958.200012207031,948,970.200012207031
2560000,961.799987792969,952.5,960.700012207031
2640000,962.400024414063,948.700012207031,974.200012207031
2720000,945.299987792969,954.900024414063,961
2800000,958.200012207031,974.099975585938,933.700012207031
2880000,982.099975585938,958,980.799987792969
2960000,958.599975585937,962.900024414063,943.5
3040000,963.099975585937,979.5,970
3120000,967.599975585937,972.700012207031,942.900024414062
3200000,929.799987792969,979.900024414063,968.799987792969
3280000,927,974.5,959.099975585938
3360000,974.599975585937,974.900024414063,973.200012207031
3440000,971.099975585937,981.5,982.5
3520000,977.799987792969,970.700012207031,981.099975585938
3600000,973.099975585938,960.599975585938,982.400024414063
3680000,986.700012207031,977.400024414063,974.099975585938
3760000,979.700012207031,873.400024414062,904.5
3840000,976.299987792969,974.5,921.799987792969
3920000,980,962.900024414063,975.400024414063
4000000,980.099975585937,977.099975585938,972.799987792969
