step,seed2,seed1,seed0
0,64.7462310791016,70.6770629882813,60.3110275268555
80000,334.443176269531,299.173828125,362.904205322266
160000,277.932434082031,128.930938720703,607.046997070313
240000,459.191986083984,350.020263671875,550.970092773438
320000,533.250366210938,563.88623046875,718.399291992187
400000,609.381103515625,532.693664550781,669.814819335938
480000,755.377807617188,657.840698242188,735.542602539063
560000,692.87451171875,714.89208984375,665.554138183594
640000,823.161315917969,783.585205078125,795.099304199219
720000,749.997985839844,671.026306152344,688.3251953125
800000,739.056518554688,735.464660644531,676.2939453125
880000,727.17724609375,730.470275878906,718.410888671875
960000,745.551147460938,659.444091796875,799.490112304688
1040000,685.48779296875,800.376220703125,791.17333984375
1120000,766.320129394531,753.648986816406,673.03662109375
1200000,749.254760742187,826.682312011719,780.865844726563
1280000,794.710327148438,745.602233886719,671.660034179688
1360000,719.687561035156,770.658081054688,732.634399414063
1440000,778.525146484375,812.813659667969,814.152954101563
1520000,815.498962402344,753.340454101563,804.640380859375
1600000,694.615112304688,732.064819335938,832.386840820313
1680000,848.804321289063,728.392578125,858.56005859375
1760000,769.706848144531,716.309020996094,795.86376953125
1840000,765.792419433594,676.532653808594,794.84716796875
1920000,813.07470703125,765.707214355469,768.011108398438
2000000,814.1484375,813.46728515625,750.000610351563
2080000,733.602722167969,806.110412597656,797.266479492188
2160000,803.748352050781,744.18359375,817.138061523437
2240000,780.974975585938,834.079772949219,843.152465820313
2320000,786.14990234375,792.169128417969,810.152526855469
2400000,824.967163085938,800.593627929688,796.84912109375
2480000,653.703918457031,787.409973144531,790.618469238281
2560000,702.804626464844,815.639282226563,718.85888671875
2640000,826.644226074219,791.674011230469,782.150024414063
2720000,828.471984863281,790.149291992188,790.384887695313
2800000,846.092163085937,774.519409179688,810.053100585938
2880000,749.426086425781,847.407348632813,863.596374511719
2960000,792.267150878906,837.214050292969,797.862976074219
3040000,799.033935546875,789.764587402344,744.964233398438
3120000,809.200073242188,830.0107421875,755.520141601563
3200000,825.632202148437,854.213073730469,818.725219726563
3280000,802.471923828125,756.912231445313,831.403625488281
3360000,748.177307128906,823.163696289063,821.948059082031
3440000,798.98779296875,775.624084472656,863.500671386719
3520000,780.072509765625,861.859069824219,789.528076171875
3600000,829.970703125,816.312866210938,831.144653320312
3680000,858.45751953125,781.027221679688,803.137878417969
3760000,821.359497070313,806.187377929687,859.925659179688
3840000,845.89013671875,727.7099609375,849.353698730469
3920000,845.587585449219,843.984008789063,738.982666015625
4000000,828.3359375,792.739318847656,797.039611816406
