step,seed1,seed2,seed0
0,0.000957275624386966,2.09081754292129E-05,0.243426993489265
80000,89.1559906005859,7.02239894866943,7.3499116897583
160000,162.14045715332,180.803863525391,50.0322570800781
240000,175.300094604492,242.638961791992,134.841949462891
320000,225.350875854492,289.721954345703,176.297836303711
400000,222.696044921875,275.021575927734,229.829986572266
480000,259.711242675781,262.039001464844,221.248458862305
560000,262.259643554688,334.010009765625,240.240142822266
640000,268.547546386719,317.322692871094,233.578323364258
720000,259.801513671875,327.279846191406,246.29621887207
800000,275.313659667969,342.217864990234,245.745941162109
880000,287.028106689453,344.613586425781,262.421447753906
960000,286.047119140625,348.063720703125,259.790802001953
1040000,293.361633300781,342.083740234375,270.09912109375
1120000,273.782348632812,341.433044433594,265.920928955078
1200000,298.118560791016,351.636962890625,269.933868408203
1280000,274.277038574219,353.871368408203,276.520416259766
1360000,293.446350097656,362.285583496094,276.406646728516
1440000,306.934997558594,352.592376708984,275.946838378906
1520000,308.040740966797,353.398742675781,271.152008056641
1600000,310.096771240234,351.060363769531,278.446838378906
1680000,309.406951904297,353.713958740234,284.674468994141
1760000,279.620971679687,361.356475830078,278.753784179687
1840000,310.294158935547,362.478485107422,290.571380615234
1920000,315.647430419922,360.365325927734,287.371520996094
2000000,317.577697753906,364.176208496094,294.461517333984
2080000,314.579467773437,367.539367675781,292.594940185547
2160000,310.630432128906,362.208068847656,295.864776611328
2240000,251.551971435547,323.019348144531,298.00732421875
2320000,316.789367675781,366.630310058594,293.138610839844
2400000,314.516540527344,364.131011962891,293.070068359375
2480000,308.081481933594,367.349426269531,291.496215820312
2560000,317.962036132812,352.923797607422,280.166717529297
2640000,311.169982910156,357.340545654297,297.127258300781
2720000,309.465179443359,368.493591308594,298.099487304688
2800000,320.275970458984,365.597900390625,300.664978027344
2880000,312.812347412109,363.064147949219,300.613830566406
2960000,317.524841308594,368.386657714844,291.868133544922
3040000,318.118041992187,361.316284179687,300.344390869141
3120000,320.602691650391,371.115783691406,269.483642578125
3200000,321.223785400391,360.846313476562,207.118438720703
3280000,286.164245605469,364.119018554688,301.148956298828
3360000,284.615997314453,363.046569824219,293.326080322266
3440000,315.907836914062,370.174072265625,281.590087890625
3520000,197.747344970703,369.804901123047,292.908874511719
3600000,314.730529785156,361.898376464844,296.100860595703
3680000,306.647674560547,362.808776855469,299.042327880859
3760000,312.0771484375,370.184844970703,297.56982421875
3840000,288.517944335937,360.336791992187,297.327514648437
3920000,295.029479980469,330.064086914062,270.029632568359
4000000,318.943176269531,356.463897705078,301.262634277344
