step,seed2,seed1,seed0
0,3,10.1999998092651,15.6000003814697
80000,678.099975585937,309.799987792969,685.200012207031
160000,929.200012207031,633.400024414063,769.299987792969
240000,956.599975585938,842.799987792969,879.299987792969
320000,980.400024414062,969.5,800.799987792969
400000,983.099975585938,967.900024414062,977
480000,977.900024414063,969.400024414063,881.799987792969
560000,976,894.299987792969,978.200012207031
640000,979,977.900024414063,981.299987792969
720000,981.099975585938,980.799987792969,973.200012207031
800000,978.900024414063,940.5,883.400024414063
880000,978.599975585938,833.799987792969,839.799987792969
960000,980.599975585938,881.900024414063,986.799987792969
1040000,980.900024414063,982.099975585938,976.099975585938
1120000,976.700012207031,982.099975585938,978.599975585938
1200000,982.5,976.900024414062,981.599975585938
1280000,981.5,982.200012207031,981.599975585938
1360000,975.700012207031,982.5,916.799987792969
1440000,973.400024414062,983.400024414063,983.700012207031
1520000,975.5,985.599975585938,981
1600000,976.700012207031,980.400024414062,981.799987792969
1680000,978.599975585938,982.700012207031,981.400024414062
1760000,980,987.599975585938,983.900024414062
1840000,984,980.799987792969,981.200012207031
1920000,979.900024414063,980.400024414062,978.700012207031
2000000,977.799987792969,985.5,982.299987792969
2080000,981.700012207031,981.799987792969,981.200012207031
2160000,984,979.400024414062,986.5
2240000,985.900024414062,986,977.599975585938
2320000,932.700012207031,981.5,977.799987792969
2400000,982.599975585937,977.900024414063,979.799987792969
2480000,988.299987792969,983,980.299987792969
2560000,982.400024414063,979.700012207031,980
2640000,982.5,980.799987792969,984.099975585938
2720000,987.099975585937,979.5,979.599975585938
2800000,980.299987792969,981.900024414063,981.799987792969
2880000,985,980.400024414062,981.200012207031
2960000,985.299987792969,977.5,986
3040000,979.799987792969,978.099975585937,979.099975585937
3120000,983.299987792969,987.099975585937,980.099975585937
3200000,977.700012207031,982.900024414063,982.900024414063
3280000,981.400024414062,979.599975585938,981.900024414063
3360000,988.599975585938,978.099975585937,985.299987792969
3440000,981.200012207031,984.700012207031,979.299987792969
3520000,985.700012207031,981,983.799987792969
3600000,981,983.599975585937,983.599975585937
3680000,983.799987792969,985,978.599975585938
3760000,983.400024414063,979.599975585938,984
3840000,976.599975585938,984.200012207031,980.900024414063
3920000,980.700012207031,981.900024414063,982.299987792969
4000000,984.900024414062,986.400024414063,984
