step,seed2,seed1,seed0
0,116.457809448242,137.462997436523,112.531394958496
160000,866.331665039063,874.944213867187,870.850769042969
320000,877.8701171875,881.09326171875,879.923034667969
480000,879.81787109375,879.278686523437,881.76220703125
640000,881.639770507812,875.254516601563,881.178039550781
800000,881.589660644531,880.356750488281,874.546203613281
960000,880.858703613281,880.489074707031,878.097534179688
1120000,880.718383789062,881.641235351563,879.653503417969
1280000,879.946166992188,881.791015625,805.769165039063
1440000,881.836242675781,880.63232421875,880.247924804688
1600000,878.927612304688,881.030151367188,881.161499023438
1760000,881.0634765625,878.019348144531,874.254089355469
1920000,881.18017578125,880.160949707031,880.2509765625
2080000,882.19873046875,878.831909179688,881.796203613281
2240000,881.112426757812,882.106567382813,879.275756835938
2400000,877.804870605469,880.603149414062,882.375366210938
2560000,867.087707519531,873.516906738281,880.925476074219
2720000,882.38232421875,878.246887207031,881.343627929688
2880000,881.334655761719,882.139465332031,882.426452636719
3040000,877.575378417969,880.345397949219,880.910339355469
3200000,570.094543457031,880.966125488281,881.457397460938
3360000,879.021606445312,880.2314453125,881.556518554688
3520000,881.429016113281,881.593139648438,880.88134765625
3680000,881.93310546875,881.526000976563,876.984680175781
3840000,879.949096679687,879.890747070312,881.222778320313
4000000,881.941589355469,882.3583984375,882.036010742188
