step,seed0,seed2,seed1
0,0.300000011920929,1.79999995231628,1.5
160000,793.5,837.099975585937,830.400024414062
320000,803.5,843.900024414062,844.599975585938
480000,804.5,844.599975585938,843.799987792969
640000,799.700012207031,843.200012207031,845.599975585938
800000,809.400024414063,846.700012207031,844.099975585938
960000,810.900024414062,847.299987792969,844.5
1120000,815.400024414063,845.200012207031,846.599975585938
1280000,806.099975585938,846.099975585937,847.700012207031
1440000,810.299987792969,846.299987792969,847.099975585937
1600000,812.5,845.400024414063,848.400024414062
1760000,816.599975585937,848,847.700012207031
1920000,817.799987792969,846.400024414062,839.299987792969
2080000,810,846.900024414063,846.799987792969
2240000,814.299987792969,846.599975585938,848.099975585938
2400000,811.599975585938,848,845.900024414063
2560000,812.299987792969,847.400024414062,847.299987792969
2720000,813.200012207031,843.900024414062,847.299987792969
2880000,816.799987792969,848,847.599975585938
3040000,816.799987792969,844.700012207031,848.200012207031
3200000,815.900024414063,848,849.200012207031
3360000,813.900024414063,845.700012207031,847.299987792969
3520000,817.200012207031,848,848.5
3680000,817.599975585937,848.299987792969,847.799987792969
3840000,811.900024414063,848.299987792969,848.400024414062
4000000,816.700012207031,847.5,837.5
