step,seed2,seed1,seed0
0,0,36,208.199996948242
80000,975.799987792969,952.700012207031,963.700012207031
160000,983.799987792969,976.400024414063,976.5
240000,967.799987792969,972.900024414063,977.299987792969
320000,982.099975585938,968.5,976.700012207031
400000,977.5,977.099975585938,980.700012207031
480000,397.600006103516,978.200012207031,978.700012207031
560000,968,983.200012207031,976.5
640000,977.900024414063,976.799987792969,969.099975585938
720000,973.700012207031,973.799987792969,980.799987792969
800000,981.900024414063,970.200012207031,979.5
880000,975.5,980.700012207031,961.299987792969
960000,981.099975585938,975.400024414063,983.099975585938
1040000,985.799987792969,971.400024414062,976
1120000,980.700012207031,965.099975585938,979.099975585937
1200000,981.099975585938,970.700012207031,977.5
1280000,983.900024414062,978.400024414063,981.5
1360000,985.099975585938,976.099975585938,979.200012207031
1440000,976,967.200012207031,953.799987792969
1520000,973.799987792969,971.400024414062,967.599975585937
1600000,978.5,979.400024414062,983
1680000,974.5,980.099975585937,975.900024414062
1760000,973.099975585938,981.599975585938,981.799987792969
1840000,980.900024414063,982,973.799987792969
1920000,979.700012207031,974.400024414063,966.200012207031
2000000,975.900024414062,976.5,979.299987792969
2080000,984.599975585937,975.900024414062,982.599975585937
2160000,974.200012207031,972.900024414063,981
2240000,974.700012207031,988,974.200012207031
2320000,980.299987792969,978.599975585938,983.400024414063
2400000,975.099975585938,982.299987792969,880.599975585938
2480000,979,982,985.299987792969
2560000,976.700012207031,979.900024414063,978.200012207031
2640000,977,976.5,980.400024414062
2720000,974.599975585937,972.799987792969,978.799987792969
2800000,968.799987792969,973,985.799987792969
2880000,983.700012207031,972.900024414063,980.099975585937
2960000,978.700012207031,987.099975585937,974.299987792969
3040000,984,972.599975585938,972.799987792969
3120000,983.200012207031,982.200012207031,977.700012207031
3200000,981.299987792969,982.5,977.299987792969
3280000,978.900024414063,977.400024414063,975.299987792969
3360000,984.5,976.5,976.400024414063
3440000,982.099975585938,984.5,982.700012207031
3520000,979.799987792969,973.700012207031,990.099975585938
3600000,984.400024414063,982.400024414063,981.900024414063
3680000,986.700012207031,983.099975585938,980.400024414062
3760000,982.700012207031,978.200012207031,979.599975585938
3840000,982.900024414063,978.5,951.299987792969
3920000,979.599975585938,975.400024414063,971
4000000,978.200012207031,979.099975585937,981.400024414062
