step,seed2,seed1,seed0
0,11.1999998092651,104.5,174.399993896484
40000,0.600000023841858,0,0
80000,6.30000019073486,99.1999969482422,86.1999969482422
120000,100.699996948242,221.699996948242,79
160000,190.100006103516,92.1999969482422,345.600006103516
200000,288.299987792969,0.100000001490116,372.5
240000,232,224.600006103516,358.600006103516
280000,292.600006103516,286.5,477.799987792969
320000,589.400024414063,436.899993896484,295.299987792969
360000,376,282.700012207031,284.5
400000,482.700012207031,396.100006103516,575.700012207031
440000,667,574.200012207031,585.099975585938
480000,496.700012207031,657.200012207031,666.900024414062
520000,655.299987792969,763.200012207031,749.799987792969
560000,850.200012207031,630.299987792969,455.799987792969
600000,607.5,677.900024414063,775.5
640000,659.700012207031,771.099975585938,820.700012207031
680000,581,735.400024414063,489.200012207031
720000,840.299987792969,869.400024414063,701.5
760000,789,521,977
800000,926.400024414063,782.5,978.200012207031
840000,876.599975585938,979.400024414062,762.5
880000,673.799987792969,890.400024414063,858.299987792969
920000,778.700012207031,878.299987792969,780.700012207031
960000,869.099975585938,951.400024414063,773.900024414063
1000000,581.900024414063,873.599975585938,871.900024414063
1040000,677.799987792969,878.5,873
1080000,876.700012207031,981,965
1120000,878.299987792969,877.700012207031,864.700012207031
1160000,872.400024414062,971.5,868.099975585938
1200000,980.900024414063,964.700012207031,963.900024414063
1240000,970.299987792969,872.700012207031,974.400024414063
1280000,877.900024414063,892.099975585938,780.799987792969
1320000,841.200012207031,870.5,943.599975585938
1360000,756.299987792969,773.599975585938,879.099975585937
1400000,790.200012207031,883.400024414063,974.700012207031
1440000,979.599975585938,981.099975585938,975.400024414063
1480000,970,976.200012207031,966.900024414062
1520000,943.400024414063,778.700012207031,884.799987792969
1560000,879,964.799987792969,789.700012207031
1600000,879,978.5,883.5
1640000,869.400024414063,981.099975585938,872.5
1680000,880.900024414063,978.700012207031,973.900024414063
1720000,871.200012207031,980,952.599975585938
1760000,970.700012207031,976.799987792969,976.099975585938
1800000,779.700012207031,979.5,880.900024414063
1840000,972.200012207031,971.599975585938,886
1880000,974.900024414063,978.700012207031,978.200012207031
1920000,974.5,981,965.099975585938
1960000,968.799987792969,972.799987792969,976.200012207031
2000000,979.5,979.799987792969,982.599975585937
2040000,977.599975585938,971.200012207031,965.900024414063
2080000,979.599975585938,984.900024414062,840
2120000,972.5,973.700012207031,966.299987792969
2160000,983.5,960.200012207031,976
2200000,871.400024414062,977.200012207031,973.700012207031
2240000,858.900024414062,981.599975585938,979
2280000,985.599975585938,972.5,984.299987792969
2320000,969.599975585938,982.599975585937,977.400024414063
2360000,972.200012207031,973.299987792969,982.799987792969
2400000,979.599975585938,975.400024414063,976.299987792969
2440000,977.799987792969,985.5,959.599975585937
2480000,978.099975585937,982.200012207031,881.5
2520000,887.099975585937,971.200012207031,879.799987792969
2560000,875,980.200012207031,979.799987792969
2600000,923.5,969.299987792969,827.599975585938
2640000,973.400024414062,980.200012207031,973
2680000,986,983.400024414063,964
2720000,980.799987792969,887.5,981.700012207031
2760000,783.400024414063,978.099975585937,973.5
2800000,779.099975585938,982.5,980.700012207031
2840000,969.400024414063,967.099975585938,880
2880000,867.099975585938,980.099975585937,783
2920000,979.200012207031,883.799987792969,964.799987792969
2960000,953.700012207031,975.400024414063,879.5
3000000,879,981.299987792969,965.400024414063
3040000,975,977.700012207031,867.200012207031
3080000,960.799987792969,964.700012207031,957
3120000,978.599975585938,976.200012207031,872.599975585938
3160000,978.400024414063,879.700012207031,951.799987792969
3200000,976.099975585938,883.799987792969,889.400024414062
3240000,874.799987792969,886.799987792969,965.799987792969
3280000,985,973,888.900024414063
3320000,969.700012207031,979.099975585937,975.599975585937
3360000,983.099975585938,970.599975585938,980.900024414063
3400000,981.299987792969,976.700012207031,980.700012207031
3440000,980.099975585937,960,977.700012207031
3480000,983.200012207031,977.200012207031,977.200012207031
3520000,857.5,979.200012207031,982.299987792969
3560000,769.299987792969,787.599975585938,977.700012207031
3600000,971.5,969.400024414063,979.900024414063
3640000,982,937.099975585937,971.599975585938
3680000,978.200012207031,975.200012207031,976.299987792969
3720000,979.099975585937,982.5,884.200012207031
3760000,875.700012207031,978.5,878.900024414063
3800000,980.5,892.700012207031,982.700012207031
3840000,879,882.5,975.400024414063
3880000,981.400024414062,972.700012207031,981.200012207031
3920000,979.700012207031,978.599975585938,983.599975585937
3960000,979.599975585938,979.299987792969,787.400024414063
4000000,981.200012207031,981.299987792969,856.200012207031
