step,seed2,seed1,seed0
0,64.7462310791016,70.6770629882813,60.3110275268555
80000,375.797302246094,138.351364135742,408.632843017578
160000,689.173156738281,582.006103515625,516.411254882813
240000,652.416442871094,659.135375976563,755.090393066406
320000,738.337768554688,751.207885742187,773.926940917969
400000,729.688415527344,744.748657226563,782.403564453125
480000,767.099853515625,775.987670898438,754.121948242188
560000,809.360290527344,748.285095214844,739.931823730469
640000,839.9931640625,797.273620605469,839.512817382813
720000,744.208251953125,776.874145507813,691.761901855469
800000,780.239501953125,795.238952636719,755.669128417969
880000,776.384948730469,819.200988769531,795.539611816406
960000,725.937316894531,786.356567382813,787.394897460938
1040000,766.402221679688,823.286926269531,798.602355957031
1120000,764.024169921875,823.361328125,750.168334960938
1200000,801.387329101562,837.006713867187,804.945861816406
1280000,776.652526855469,818.710144042969,767.530151367188
1360000,775.786376953125,754.170654296875,802.304321289063
1440000,790.298156738281,835.58544921875,826.804382324219
1520000,849.398071289063,768.814880371094,821.713684082031
1600000,789.467041015625,832.6357421875,836.661010742188
1680000,850.846984863281,796.363830566406,848.153198242188
1760000,845.64990234375,804.550048828125,821.510620117187
1840000,788.921875,782.639343261719,771.965209960938
1920000,824.508117675781,767.984497070313,766.216735839844
2000000,850.235717773438,802.111083984375,795.085083007813
2080000,819.761596679687,777.630737304688,738.647521972656
2160000,799.811462402344,811.016235351562,722.648620605469
2240000,806.782958984375,829.348327636719,795.220947265625
2320000,790.345642089844,822.406127929687,777.379089355469
2400000,815.679260253906,730.538879394531,757.607116699219
2480000,682.80322265625,799.945922851563,702.973022460938
2560000,751.391174316406,786.034545898437,474.450988769531
2640000,769.529541015625,632.190856933594,679.5654296875
2720000,702.7744140625,733.691467285156,755.780578613281
2800000,786.522583007813,749.184265136719,719.743286132813
2880000,752.546813964844,803.684265136719,700.727722167969
2960000,762.650085449219,767.879272460938,697.296569824219
3040000,699.244689941406,709.48095703125,597.889587402344
3120000,664.548706054688,687.963989257813,597.512451171875
3200000,807.969116210938,773.361389160156,708.275634765625
3280000,695.733093261719,704.644653320313,776.959777832031
3360000,765.830078125,781.980346679688,714.382446289063
3440000,738.730163574219,679.6279296875,745.02734375
3520000,673.405944824219,736.236877441406,761.887573242188
3600000,737.674438476563,720.106811523438,764.938354492188
3680000,807.088989257812,723.216064453125,732.047485351563
3760000,737.144897460938,757.226806640625,669.916442871094
3840000,608.061950683594,585.516174316406,708.444763183594
3920000,791.521118164063,776.131896972656,628.269958496094
4000000,702.454833984375,735.371643066406,692.685485839844
