step,seed2,seed1,seed0
0,3.09558343887329,0.655921161174774,2.09322667121887
80000,887.89697265625,432.852874755859,844.34326171875
160000,917.767761230469,925.772827148438,928.473022460937
240000,937.403137207031,812.401977539063,903.726745605469
320000,943.682739257813,935.285034179688,926.271606445313
400000,954.6064453125,939.954772949219,947.966003417969
480000,851.623229980469,936.478149414062,944.772338867188
560000,941.462280273437,942.075805664063,952.003112792969
640000,946.276550292969,946.193359375,938.570190429688
720000,951.8447265625,920.576049804687,946.423217773438
800000,902.31494140625,955.249694824219,953.520690917969
880000,946.400512695313,937.98388671875,939.292785644531
960000,949.921752929687,946.234069824219,945.249206542969
1040000,953.244995117188,963.145141601563,941.467895507813
1120000,951.969360351563,839.20166015625,936.308410644531
1200000,938.715209960938,937.38623046875,947.152648925781
1280000,957.854125976563,858.764770507812,946.268920898438
1360000,954.075317382813,947.086791992188,953.129577636719
1440000,954.187194824219,957.720092773437,946.479370117187
1520000,951.58447265625,947.20556640625,924.087219238281
1600000,953.009094238281,946.224975585938,897.842956542969
1680000,947.5556640625,953.610046386719,950.091979980469
1760000,958.732604980469,959.691101074219,951.335083007812
1840000,912.961242675781,951.225952148437,950.559204101563
1920000,956.0419921875,964.873229980469,955.668090820313
2000000,963.077758789063,953.858520507812,949.262084960938
2080000,944.419799804687,944.936889648437,942.718566894531
2160000,958.606811523438,942.361145019531,951.378540039062
2240000,920.359558105469,861.703918457031,952.347290039062
2320000,955.347473144531,950.564147949219,942.082214355469
2400000,956.174133300781,959.83984375,944.558776855469
2480000,932.216003417969,956.188781738281,947.394348144531
2560000,943.627258300781,956.047485351563,943.7490234375
2640000,954.94140625,957.25537109375,953.688354492187
2720000,954.96435546875,948.94189453125,941.59033203125
2800000,963.556335449219,955.241027832031,949.520690917969
2880000,958.790649414063,931.111022949219,941.754760742188
2960000,957.324401855469,964.852722167969,945.102661132813
3040000,964.492797851563,952.446594238281,960.721862792969
3120000,964.923950195313,949.411499023437,852.526489257813
3200000,948.810729980469,942.900024414062,953.587707519531
3280000,959.222839355469,860.588500976563,952.321105957031
3360000,959.2099609375,951.96435546875,939.643371582031
3440000,960.736022949219,949.667175292969,959.036804199219
3520000,937.593444824219,961.284301757813,929.845825195313
3600000,948.891296386719,955.413269042969,953.726684570312
3680000,941.4560546875,952.073852539063,955.128234863281
3760000,939.172546386719,958.869995117188,954.640319824219
3840000,946.105651855469,851.381958007813,953.5205078125
3920000,850.993835449219,953.933715820313,843.731750488281
4000000,960.318176269531,943.466186523438,959.311340332031
