step,seed2,seed1,seed0
0,0,0,0
80000,829.799987792969,300.600006103516,812.200012207031
160000,817.400024414063,681.700012207031,888.400024414062
240000,831.900024414063,857.299987792969,789.200012207031
320000,876.5,838.299987792969,858.700012207031
400000,869.599975585938,810,777
480000,856.299987792969,829.400024414062,854
560000,867.5,811.5,824.099975585938
640000,842.599975585937,863.400024414062,733.400024414063
720000,802.099975585938,845.900024414063,869.400024414063
800000,806.700012207031,801.200012207031,776.5
880000,837.099975585937,881.599975585938,863.099975585937
960000,815.700012207031,826.200012207031,819.799987792969
1040000,858.299987792969,842.099975585938,852.599975585938
1120000,762.599975585938,856,837.900024414063
1200000,557.599975585937,856.599975585938,853.5
1280000,738.599975585938,807.099975585938,830.799987792969
1360000,863.400024414062,812.099975585937,823.900024414063
1440000,874.700012207031,841.299987792969,850.799987792969
1520000,805.299987792969,855.700012207031,797.099975585938
1600000,831.599975585938,818.700012207031,817.200012207031
1680000,828.200012207031,750.799987792969,815.900024414063
1760000,867.200012207031,816.099975585938,875.599975585937
1840000,818.400024414063,875.099975585938,877
1920000,753.099975585937,848.799987792969,832.700012207031
2000000,753.5,846.900024414063,848
2080000,860.400024414063,828.099975585937,802.200012207031
2160000,838.599975585938,803.5,800.700012207031
2240000,819.799987792969,846.200012207031,816.299987792969
2320000,837.099975585937,852.599975585938,835.700012207031
2400000,783.400024414063,820,884.5
2480000,828.900024414063,791,831.599975585938
2560000,885.599975585938,897.400024414062,788.099975585938
2640000,837.700012207031,853.400024414063,846.599975585938
2720000,840.099975585938,831.299987792969,853
2800000,871,818.599975585938,698.599975585938
2880000,852.299987792969,873.5,684.299987792969
2960000,854.400024414062,848.900024414063,0
3040000,855.900024414063,880.599975585938,454.399993896484
3120000,778.799987792969,847.5,847.200012207031
3200000,913.599975585938,894.200012207031,870.200012207031
3280000,867.5,780,831.700012207031
3360000,885.799987792969,820.200012207031,850.200012207031
3440000,776.5,790.900024414063,859.700012207031
3520000,865.099975585938,798.5,803.5
3600000,837.799987792969,824.299987792969,813.5
3680000,850.799987792969,829.299987792969,867.299987792969
3760000,856.799987792969,866.200012207031,826.099975585938
3840000,830.599975585938,869.700012207031,821.400024414062
3920000,791.799987792969,841.900024414062,814.799987792969
4000000,841,838,856.700012207031
