step,seed0,seed2,seed1
0,147.986526489258,225.407379150391,57.7579650878906
80000,318.35986328125,341.876708984375,311.146148681641
160000,707.235290527344,818.416137695312,616.154174804688
240000,796.052856445313,863.133605957031,678.1787109375
320000,856.228332519531,903.4609375,705.160095214844
400000,885.266784667969,847.276489257813,708.564697265625
480000,893.029174804687,906.647827148437,729.451721191406
560000,911.270324707031,904.893859863281,754.072570800781
640000,909.024536132812,921.180786132813,750.229125976562
720000,922.468566894531,919.5849609375,761.685852050781
800000,888.208862304688,920.6884765625,766.267456054688
880000,920.094604492187,901.268676757812,752.253295898437
960000,900.387512207031,934.858764648438,768.470825195313
1040000,904.494262695313,947.26171875,781.679321289063
1120000,899.472351074219,922.482116699219,784.080810546875
1200000,922.771850585938,929.941711425781,807.411010742188
1280000,907.3681640625,912.782409667969,780.502990722656
1360000,912.8271484375,897.792114257813,804.20361328125
1440000,911.464721679688,933.576782226563,814.380676269531
1520000,909.710754394531,933.104797363281,799.554443359375
1600000,926.01171875,939.250122070312,811.743286132812
1680000,914.211303710938,922.039184570312,796.947875976563
1760000,924.927551269531,934.502807617188,800.688415527344
1840000,927.1845703125,931.309387207031,818.697082519531
1920000,930.678405761719,928.091918945312,812.038330078125
2000000,928.613098144531,926.062683105469,820.480590820313
2080000,921.741088867188,916.546875,805.103820800781
2160000,925.552062988281,941.658874511719,820.802734375
2240000,927.747863769531,926.026733398438,807.7744140625
2320000,930.5556640625,921.476379394531,806.830993652344
2400000,914.643188476563,930.823120117188,784.527954101563
2480000,903.528137207031,928.69677734375,813.837524414063
2560000,924.896667480469,918.267944335937,828.440124511719
2640000,921.305297851563,934.85546875,824.89892578125
2720000,904.746276855469,937.087524414063,817.829956054688
2800000,809.71484375,941.794555664063,802.483703613281
2880000,912.892700195313,927.442016601563,824.987976074219
2960000,826.814331054688,917.437377929688,802.302429199219
3040000,857.413391113281,934.987487792969,810.091674804688
3120000,893.998901367188,925.517211914062,811.212219238281
3200000,838.887573242188,871.572937011719,811.754028320313
3280000,823.342651367187,931.36279296875,814.209167480469
3360000,843.070678710938,901.653442382812,811.034545898437
3440000,656.906127929688,937.89697265625,812.838317871094
3520000,750.331848144531,916.744262695313,825.227661132812
3600000,700.800720214844,937.6953125,831.591125488281
3680000,891.259765625,929.6845703125,827.603698730469
3760000,586.813598632812,940.158874511719,812.116333007813
3840000,858.728210449219,925.443359375,826.548645019531
3920000,834.325378417969,941.524536132813,830.491516113281
4000000,870.3388671875,942.245910644531,807.713256835937
