step,seed2,seed1,seed0
0,32.7000007629395,46.0999984741211,78.1999969482422
80000,958.299987792969,925.599975585937,952.700012207031
160000,965.900024414063,978.599975585938,976.700012207031
240000,985.099975585938,980,983.5
320000,981.700012207031,989.400024414062,873.5
400000,981.299987792969,982.900024414063,984.700012207031
480000,979.599975585938,979,986.400024414063
560000,985.799987792969,981.799987792969,982.700012207031
640000,985.299987792969,985,986.200012207031
720000,986.900024414063,986.099975585938,983.599975585937
800000,986.700012207031,983.200012207031,985.900024414062
880000,981.599975585938,988.599975585938,984.299987792969
960000,980.5,986.400024414063,990.599975585937
1040000,985.5,988.299987792969,980.799987792969
1120000,885.700012207031,985.5,981.5
1200000,982.900024414063,981.5,985.599975585938
1280000,989,986.900024414063,986.299987792969
1360000,983.799987792969,986.700012207031,983
1440000,983,988.599975585938,987
1520000,984.200012207031,989.400024414062,984.799987792969
1600000,988.5,984.599975585937,986.200012207031
1680000,989.5,986.900024414063,984.700012207031
1760000,983.900024414062,992,990.299987792969
1840000,986.5,985.099975585938,985.799987792969
1920000,946.299987792969,984.5,983.799987792969
2000000,983.799987792969,988.400024414062,987.299987792969
2080000,987.400024414063,987.700012207031,985.5
2160000,984.200012207031,983.799987792969,990.200012207031
2240000,984.5,990.400024414063,975.299987792969
2320000,986.099975585938,984.200012207031,981.900024414063
2400000,985.700012207031,982.099975585938,983.200012207031
2480000,983.799987792969,987.599975585938,984.200012207031
2560000,986.299987792969,983.799987792969,984.400024414063
2640000,984.700012207031,984.900024414062,988.599975585938
2720000,984.5,984.200012207031,988.700012207031
2800000,981.099975585938,986.299987792969,985.299987792969
2880000,986.5,983.900024414062,984.799987792969
2960000,985.5,982.400024414063,989.599975585938
3040000,981.5,980.900024414063,984.400024414063
3120000,984.099975585938,990.700012207031,984.299987792969
3200000,985.5,987.599975585938,972.700012207031
3280000,984.5,985.099975585938,985.900024414062
3360000,986.5,982.900024414063,989.599975585938
3440000,917.099975585938,989,983.200012207031
3520000,984.900024414062,985.599975585938,987.700012207031
3600000,984.400024414063,987.700012207031,987.299987792969
3680000,984.099975585938,989.099975585938,980.599975585938
3760000,979.900024414063,983.599975585937,987.700012207031
3840000,986.299987792969,987.799987792969,984.799987792969
3920000,988,985.400024414063,987
4000000,985.200012207031,990,986.900024414063
