step,seed0,seed1,seed2
0,17.5788104534149,17.5788104534149,17.5788104534149
160000,1226.99677324295,1226.99677324295,1226.99677324295
320000,2551.68243527412,2551.68243527412,2551.68243527412
480000,3923.969135046,3923.969135046,3923.969135046
640000,5297.67321872711,5297.67321872711,5297.67321872711
800000,6666.31878614426,6666.31878614426,6666.31878614426
960000,8053.24957704544,8053.24957704544,8053.24957704544
1120000,9428.6788687706,9428.6788687706,9428.6788687706
1280000,10804.5672669411,10804.5672669411,10804.5672669411
1440000,12179.3482062817,12179.3482062817,12179.3482062817
1600000,13549.7014753819,13549.7014753819,13549.7014753819
1760000,14926.4763710499,14926.4763710499,14926.4763710499
1920000,16307.5301554203,16307.5301554203,16307.5301554203
2080000,17691.5048670769,17691.5048670769,17691.5048670769
2240000,18996.6889719963,18996.6889719963,18996.6889719963
2400000,20383.4478886127,20383.4478886127,20383.4478886127
2560000,21772.5425961018,21772.5425961018,21772.5425961018
2720000,23164.7506854534,23164.7506854534,23164.7506854534
2880000,24567.1834926605,24567.1834926605,24567.1834926605
3040000,25954.4557800293,25954.4557800293,25954.4557800293
3200000,27333.0500826836,27333.0500826836,27333.0500826836
3360000,28716.6458833218,28716.6458833218,28716.6458833218
3520000,30107.8037807941,30107.8037807941,30107.8037807941
3680000,31493.3446040154,31493.3446040154,31493.3446040154
3840000,32880.3793988228,32880.3793988228,32880.3793988228
4000000,34237.7976412773,34237.7976412773,34237.7976412773
