step,time
0,14.8816180229187
40000,264.500641107559
80000,556.9956407547
120000,852.501374006271
160000,1148.02268218994
200000,1445.09597611427
240000,1740.25760412216
280000,2037.88043117523
320000,2334.70316886902
360000,2631.39875006676
400000,2929.78862261772
440000,3240.4319460392
480000,3541.95481204987
520000,3846.82281923294
560000,4143.78602838516
600000,4440.31395983696
640000,4737.86593985558
680000,5035.63229727745
720000,5333.81076407433
760000,5630.4769384861
800000,5926.82492733002
840000,6223.05554962158
880000,6520.79980254173
920000,6817.92681956291
960000,7115.5687289238
1000000,7410.88794493675
1040000,7706.78192400932
1080000,8002.29493165016
1120000,8297.55793309212
1160000,8594.72572183609
1200000,8891.03115153313
1240000,9187.89924502373
1280000,9494.91749119759
1320000,9798.48231196404
1360000,10104.0988600254
1400000,10405.0251376629
1440000,10707.753770113
1480000,11012.0110826492
1520000,11322.9482779503
1560000,11629.1043102741
1600000,11925.1330606937
1640000,12221.2143409252
1680000,12517.1089520454
1720000,12814.0832369328
1760000,13110.6151344776
1800000,13405.115452528
1840000,13700.0561797619
1880000,13994.9454665184
1920000,14291.3812215328
1960000,14587.86597085
2000000,14883.0318572521
2040000,15179.8308904171
2080000,15475.4759123325
2120000,15772.3103544712
2160000,16070.0838961601
2200000,16366.3788084984
2240000,16662.8407716751
2280000,16960.0615890026
2320000,17257.5247268677
2360000,17553.273414135
2400000,17850.6267573833
2440000,18148.1418397427
2480000,18445.0370464325
2520000,18743.6237351894
2560000,19040.9222753048
2600000,19338.0144762993
2640000,19635.5931196213
2680000,19934.1097285748
2720000,20231.5145878792
2760000,20527.6733062267
2800000,20824.5122420788
2840000,21121.0588309765
2880000,21417.5104033947
2920000,21714.6412551403
2960000,22010.7557389736
3000000,22307.7092432976
3040000,22605.1607346535
3080000,22902.0960874557
3120000,23198.4435212612
3160000,23494.1381161213
3200000,23790.8742690086
3240000,24085.5736038685
3280000,24380.3685283661
3320000,24676.1430854797
3360000,24973.6494467258
3400000,25269.9662806988
3440000,25566.7212767601
3480000,25862.9545588493
3520000,26161.0146634579
3560000,26459.1963939667
3600000,26756.1764404774
3640000,27053.8010053635
3680000,27350.6049234867
3720000,27647.1324877739
3760000,27946.2873826027
3800000,28243.3216030598
3840000,28540.6449444294
3880000,28838.6532831192
3920000,29136.1188681126
3960000,29431.7443466187
4000000,29728.8149459362
