step,seed0,seed1,seed2
0,14.3403959274292,17.5788104534149,17.5788104534149
160000,1743.12768173218,1226.99677324295,1226.99677324295
320000,3681.06331181526,2551.68243527412,2551.68243527412
480000,5657.28566527367,3923.969135046,3923.969135046
640000,7628.43326187134,5297.67321872711,5297.67321872711
800000,9607.32950496674,6666.31878614426,6666.31878614426
960000,11575.7844820023,8053.24957704544,8053.24957704544
1120000,13557.8413028717,9428.6788687706,9428.6788687706
1280000,15540.7928020954,10804.5672669411,10804.5672669411
1440000,17460.4831655025,12179.3482062817,12179.3482062817
1600000,19449.3588681221,13549.7014753819,13549.7014753819
1760000,21433.6744604111,14926.4763710499,14926.4763710499
1920000,23411.4850571156,16307.5301554203,16307.5301554203
2080000,25259.3856794834,17691.5048670769,17691.5048670769
2240000,27245.7759101391,18996.6889719963,18996.6889719963
2400000,29204.3015632629,20383.4478886127,20383.4478886127
2560000,31198.4049112797,21772.5425961018,21772.5425961018
2720000,33182.4699745178,23164.7506854534,23164.7506854534
2880000,35156.3670511246,24567.1834926605,24567.1834926605
3040000,37104.196842432,25954.4557800293,25954.4557800293
3200000,39056.6885623932,27333.0500826836,27333.0500826836
3360000,41020.3367061615,28716.6458833218,28716.6458833218
3520000,42972.0953526497,30107.8037807941,30107.8037807941
3680000,44918.6559615135,31493.3446040154,31493.3446040154
3840000,46876.9347112179,32880.3793988228,32880.3793988228
4000000,48832.1934847832,34237.7976412773,34237.7976412773
